<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GAZP;D;240104;000000;161.44;8080170
GAZP;D;240105;000000;161.25;4859980
GAZP;D;240106;000000;161.94;8773230
GAZP;D;240109;000000;163.05;11120640
GAZP;D;240110;000000;162.41;9592690
GAZP;D;240111;000000;162.87;10743240
GAZP;D;240112;000000;162.5;13085980
GAZP;D;240113;000000;163.37;14743890
GAZP;D;240116;000000;163.34;11051540
GAZP;D;240117;000000;163.22;12180560
GAZP;D;240118;000000;164.04;8623410
GAZP;D;240119;000000;166.52;39378520
GAZP;D;240120;000000;165.9;23518580
GAZP;D;240123;000000;166.06;12995310
GAZP;D;240124;000000;168.31;29332620
GAZP;D;240125;000000;166.36;18314770
GAZP;D;240126;000000;165.42;16162970
GAZP;D;240127;000000;163.99;20980140
GAZP;D;240130;000000;163.5;17070970
GAZP;D;240131;000000;163.22;17815100
GAZP;D;240201;000000;166.33;39738490
GAZP;D;240202;000000;165.25;20836140
GAZP;D;240203;000000;164.4;32725330
GAZP;D;240206;000000;164.87;17938190
GAZP;D;240207;000000;164.56;13168200
GAZP;D;240208;000000;164.62;16372630
GAZP;D;240209;000000;163.21;17718920
GAZP;D;240210;000000;163.23;12313700
GAZP;D;240213;000000;162.49;17879140
GAZP;D;240214;000000;162.29;15061640
GAZP;D;240215;000000;161.92;22008050
GAZP;D;240216;000000;161.59;16625530
GAZP;D;240217;000000;161.19;17123190
GAZP;D;240220;000000;161.24;13001080
GAZP;D;240221;000000;159.5;21831180
GAZP;D;240222;000000;158.64;22478950
GAZP;D;240223;000000;158.12;17651550
GAZP;D;240227;000000;160.09;16569370
GAZP;D;240228;000000;159.04;12055350
GAZP;D;240229;000000;160.65;33707380
GAZP;D;240301;000000;161.82;18111950
GAZP;D;240302;000000;161.34;18285650
GAZP;D;240305;000000;161.24;16530800
GAZP;D;240306;000000;160.98;14116140
GAZP;D;240307;000000;161.65;13596360
GAZP;D;240308;000000;160.91;14196940
GAZP;D;240312;000000;160.56;15883610
GAZP;D;240313;000000;162.99;26510020
GAZP;D;240314;000000;161.77;19180710
GAZP;D;240315;000000;161.1;13996010
GAZP;D;240316;000000;160.86;14151130
GAZP;D;240319;000000;160.58;14241450
GAZP;D;240320;000000;158.55;38252890
GAZP;D;240321;000000;158.42;21060990
GAZP;D;240322;000000;158.28;18038400
GAZP;D;240323;000000;156.44;28149960
GAZP;D;240326;000000;158.84;26914060
GAZP;D;240327;000000;157.94;27990050
GAZP;D;240328;000000;157.79;11865150
GAZP;D;240329;000000;157.05;10217550
GAZP;D;240330;000000;157.22;16044130
GAZP;D;240402;000000;158.06;16732650
GAZP;D;240403;000000;164.18;72244180
GAZP;D;240404;000000;162.63;42984880
GAZP;D;240405;000000;162.69;30238210
GAZP;D;240406;000000;163.59;22814020
GAZP;D;240409;000000;163.89;16445250
GAZP;D;240410;000000;164.08;29054750
GAZP;D;240411;000000;164.74;23208780
GAZP;D;240412;000000;166.24;30774040
GAZP;D;240413;000000;164.83;26202270
GAZP;D;240416;000000;163.33;21562710
GAZP;D;240417;000000;164.38;19254140
GAZP;D;240418;000000;164.62;20063060
GAZP;D;240419;000000;165.4;17621040
GAZP;D;240420;000000;167.03;36205320
GAZP;D;240423;000000;166.77;26923930
GAZP;D;240424;000000;163.7;34959300
GAZP;D;240425;000000;162.86;20797970
GAZP;D;240426;000000;163.35;14574730
GAZP;D;240427;000000;162.46;23101170
GAZP;D;240428;000000;164.06;31250400
GAZP;D;240430;000000;164.03;7800610
GAZP;D;240501;000000;163.22;7166760
GAZP;D;240503;000000;157.75;117380380
GAZP;D;240504;000000;155.2;66221110
GAZP;D;240507;000000;153.64;26977110
GAZP;D;240508;000000;154.16;16549540
GAZP;D;240509;000000;154.22;9615650
GAZP;D;240511;000000;154.58;4938150
GAZP;D;240514;000000;157.9;36367940
GAZP;D;240515;000000;156.16;18636890
GAZP;D;240516;000000;156.97;27230820
GAZP;D;240517;000000;157.88;24775560
GAZP;D;240518;000000;155.17;40679710
GAZP;D;240521;000000;145.03;138793230
GAZP;D;240522;000000;139.54;177093860
GAZP;D;240523;000000;139.25;54098250
GAZP;D;240524;000000;134.69;110661490
GAZP;D;240525;000000;133.34;58717990
GAZP;D;240528;000000;128.42;89193240
GAZP;D;240529;000000;128.47;63443960
GAZP;D;240530;000000;128.89;45011470
GAZP;D;240531;000000;124.93;45247030
GAZP;D;240601;000000;126.46;74986990
GAZP;D;240604;000000;124.14;70452330
GAZP;D;240605;000000;125.1;34739690
GAZP;D;240606;000000;124.02;37174310
GAZP;D;240607;000000;123.6;20658080
GAZP;D;240608;000000;122.78;47531080
GAZP;D;240611;000000;119;85156160
GAZP;D;240612;000000;117.53;62417250
GAZP;D;240614;000000;119.63;69585070
GAZP;D;240615;000000;121.65;49949590
GAZP;D;240618;000000;121.54;28829870
GAZP;D;240619;000000;118.02;40909060
GAZP;D;240620;000000;113.85;74681030
GAZP;D;240621;000000;115.92;176275570
GAZP;D;240622;000000;115.4;45925320
GAZP;D;240625;000000;113.67;27304980
GAZP;D;240626;000000;114.97;32077620
GAZP;D;240627;000000;117;39669450
GAZP;D;240628;000000;115.65;30906770
GAZP;D;240629;000000;115.94;23809940
GAZP;D;240702;000000;121.4;59969450
GAZP;D;240703;000000;126.2;130001830
GAZP;D;240704;000000;124.96;165261050
GAZP;D;240705;000000;122.17;80851800
GAZP;D;240706;000000;126.74;124560730
GAZP;D;240709;000000;127.74;89515150
GAZP;D;240710;000000;124.05;90375230
GAZP;D;240711;000000;117.81;99601990
GAZP;D;240712;000000;121.75;72079520
GAZP;D;240713;000000;119.65;48194040
GAZP;D;240716;000000;119.28;40496850
GAZP;D;240717;000000;124.74;93643180
GAZP;D;240718;000000;124.46;67220680
GAZP;D;240719;000000;129.81;89766080
GAZP;D;240720;000000;130.88;92815970
GAZP;D;240723;000000;131.61;53044470
GAZP;D;240724;000000;134.07;69150170
GAZP;D;240725;000000;136.73;64045270
GAZP;D;240726;000000;135.1;40983920
GAZP;D;240727;000000;135;82109580
GAZP;D;240730;000000;130.99;64573400
GAZP;D;240731;000000;132.4;53190140
GAZP;D;240801;000000;133.31;48325370
GAZP;D;240802;000000;132.05;29581130
GAZP;D;240803;000000;131.45;40694220
GAZP;D;240806;000000;127.25;59457200
GAZP;D;240807;000000;128.7;37085700
GAZP;D;240808;000000;129.84;61734090
GAZP;D;240809;000000;128.14;39237920
GAZP;D;240810;000000;128.64;29387830
GAZP;D;240813;000000;128.71;25800830
GAZP;D;240814;000000;130.49;23811100
GAZP;D;240815;000000;129.84;21667760
GAZP;D;240816;000000;127.6;25693730
GAZP;D;240817;000000;126.36;30430620
GAZP;D;240820;000000;126.29;30450030
GAZP;D;240821;000000;125.85;28164010
GAZP;D;240822;000000;123.38;35932010
GAZP;D;240823;000000;118.51;56139350
GAZP;D;240824;000000;116.81;60586860
GAZP;D;240827;000000;126.8;123117380
GAZP;D;240828;000000;124.47;92498810
GAZP;D;240829;000000;124.51;71144630
GAZP;D;240830;000000;130.27;165035420
GAZP;D;240831;000000;122.97;121346360
GAZP;D;240903;000000;123.86;82837340
GAZP;D;240904;000000;120.6;84447100
GAZP;D;240905;000000;122.46;45755380
GAZP;D;240906;000000;123.76;49655790
GAZP;D;240907;000000;123;24880630
GAZP;D;240910;000000;125.04;31663950
GAZP;D;240911;000000;123.44;27943810
GAZP;D;240912;000000;121.62;22166340
GAZP;D;240913;000000;118.78;46780470
GAZP;D;240914;000000;119.91;55804200
GAZP;D;240917;000000;121.73;38822020
GAZP;D;240918;000000;123.1;36844620
GAZP;D;240919;000000;122.18;30596960
GAZP;D;240920;000000;122.24;43276000
GAZP;D;240921;000000;122.22;21922060
