<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20220103;000000;353.7300000
GAZP;D;20220104;000000;352.5500000
GAZP;D;20220105;000000;335.0000000
GAZP;D;20220106;000000;346.1300000
GAZP;D;20220110;000000;344.0000000
GAZP;D;20220111;000000;343.7400000
GAZP;D;20220112;000000;347.4300000
GAZP;D;20220113;000000;337.6000000
GAZP;D;20220114;000000;335.7600000
GAZP;D;20220117;000000;327.8100000
GAZP;D;20220118;000000;301.1100000
GAZP;D;20220119;000000;318.3600000
GAZP;D;20220120;000000;310.4200000
GAZP;D;20220121;000000;311.6000000
GAZP;D;20220124;000000;294.5900000
GAZP;D;20220125;000000;302.9600000
GAZP;D;20220126;000000;299.6000000
GAZP;D;20220127;000000;325.2500000
GAZP;D;20220128;000000;329.5800000
GAZP;D;20220131;000000;334.8000000
GAZP;D;20220201;000000;330.9500000
GAZP;D;20220202;000000;331.7000000
GAZP;D;20220203;000000;323.7500000
GAZP;D;20220204;000000;324.6000000
GAZP;D;20220207;000000;321.2500000
GAZP;D;20220208;000000;331.7000000
GAZP;D;20220209;000000;335.0800000
GAZP;D;20220210;000000;328.9300000
GAZP;D;20220211;000000;318.1000000
GAZP;D;20220214;000000;321.8500000
GAZP;D;20220215;000000;333.6000000
GAZP;D;20220216;000000;336.5000000
GAZP;D;20220217;000000;323.5100000
GAZP;D;20220218;000000;309.4800000
GAZP;D;20220221;000000;257.3000000
GAZP;D;20220222;000000;283.5100000
GAZP;D;20220224;000000;210.0000000
GAZP;D;20220225;000000;228.0000000
GAZP;D;20220324;000000;258.5100000
GAZP;D;20220325;000000;227.0000000
GAZP;D;20220328;000000;218.6000000
GAZP;D;20220329;000000;208.0000000
GAZP;D;20220330;000000;216.0000000
GAZP;D;20220331;000000;242.4800000
GAZP;D;20220401;000000;251.4000000
GAZP;D;20220404;000000;252.9000000
GAZP;D;20220405;000000;243.5000000
GAZP;D;20220406;000000;239.7000000
GAZP;D;20220407;000000;245.0000000
GAZP;D;20220408;000000;241.0700000
GAZP;D;20220411;000000;234.5500000
GAZP;D;20220412;000000;236.3000000
GAZP;D;20220413;000000;234.8700000
GAZP;D;20220414;000000;222.1100000
GAZP;D;20220415;000000;224.0000000
GAZP;D;20220418;000000;216.9900000
GAZP;D;20220419;000000;220.7200000
GAZP;D;20220420;000000;218.9200000
GAZP;D;20220421;000000;210.2900000
GAZP;D;20220422;000000;208.0000000
GAZP;D;20220425;000000;206.3500000
GAZP;D;20220426;000000;225.8500000
GAZP;D;20220427;000000;237.1500000
GAZP;D;20220428;000000;237.5300000
GAZP;D;20220429;000000;240.4000000
GAZP;D;20220504;000000;234.1600000
GAZP;D;20220505;000000;238.6000000
GAZP;D;20220506;000000;240.1000000
GAZP;D;20220511;000000;241.9900000
GAZP;D;20220512;000000;230.5600000
GAZP;D;20220513;000000;235.5200000
GAZP;D;20220516;000000;244.2000000
GAZP;D;20220517;000000;258.8000000
GAZP;D;20220518;000000;264.8400000
GAZP;D;20220519;000000;266.6800000
GAZP;D;20220520;000000;263.0000000
GAZP;D;20220523;000000;263.0000000
GAZP;D;20220524;000000;265.8000000
GAZP;D;20220525;000000;271.4000000
GAZP;D;20220526;000000;295.8900000
GAZP;D;20220527;000000;294.5000000
GAZP;D;20220530;000000;300.8000000
GAZP;D;20220531;000000;293.7500000
GAZP;D;20220601;000000;297.6900000
GAZP;D;20220602;000000;296.0000000
GAZP;D;20220603;000000;297.0000000
GAZP;D;20220606;000000;296.5000000
GAZP;D;20220607;000000;297.9900000
GAZP;D;20220608;000000;308.0000000
