<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GC;D;240102;000000;2078.6
GC;D;240103;000000;2073
GC;D;240104;000000;2050.3
GC;D;240105;000000;2051.3
GC;D;240106;000000;2051.1
GC;D;240109;000000;2038.9
GC;D;240110;000000;2035.3
GC;D;240111;000000;2036.1
GC;D;240112;000000;2038.9
GC;D;240113;000000;2051.3
GC;D;240116;000000;2052.9
GC;D;240117;000000;2028.5
GC;D;240118;000000;2010
GC;D;240119;000000;2022.9
GC;D;240120;000000;2030.6
GC;D;240123;000000;2029
GC;D;240124;000000;2025.3
GC;D;240125;000000;2015.5
GC;D;240126;000000;2020.9
GC;D;240127;000000;2017.9
GC;D;240130;000000;2049.5
GC;D;240131;000000;2052.6
GC;D;240201;000000;2063
GC;D;240202;000000;2072.3
GC;D;240203;000000;2054.5
GC;D;240206;000000;2042.2
GC;D;240207;000000;2051.1
GC;D;240208;000000;2047.4
GC;D;240209;000000;2047.5
GC;D;240210;000000;2040.3
GC;D;240213;000000;2032.4
GC;D;240214;000000;2005
GC;D;240215;000000;2003.6
GC;D;240216;000000;2015.4
GC;D;240217;000000;2024.2
GC;D;240220;000000;2030.6
GC;D;240221;000000;2041.7
GC;D;240222;000000;2038.7
GC;D;240223;000000;2035.5
GC;D;240224;000000;2046.9
GC;D;240227;000000;2043
GC;D;240228;000000;2039
GC;D;240229;000000;2043.5
GC;D;240301;000000;2053.8
GC;D;240302;000000;2093.5
GC;D;240305;000000;2123.9
GC;D;240306;000000;2134.2
GC;D;240307;000000;2165.5
GC;D;240308;000000;2164.6
GC;D;240309;000000;2183.6
GC;D;240310;000000;2183.7
GC;D;240313;000000;2164.2
GC;D;240314;000000;2176.4
GC;D;240315;000000;2168.5
GC;D;240316;000000;2159.4
GC;D;240319;000000;2164.9
GC;D;240320;000000;2163
GC;D;240321;000000;2204.9
GC;D;240322;000000;2175.2
GC;D;240323;000000;2166.5
GC;D;240326;000000;2170.7
GC;D;240327;000000;2198.2
GC;D;240328;000000;2215.5
GC;D;240329;000000;2254.8
GC;D;240330;000000;2254.8
GC;D;240402;000000;2271.9
GC;D;240403;000000;2305.3
GC;D;240404;000000;2318.5
GC;D;240405;000000;2295.2
GC;D;240406;000000;2349.1
GC;D;240409;000000;2362.6
GC;D;240410;000000;2369.5
GC;D;240411;000000;2361.1
GC;D;240412;000000;2401.6
GC;D;240413;000000;2360.2
GC;D;240416;000000;2404.5
GC;D;240417;000000;2397.9
GC;D;240418;000000;2389.5
GC;D;240419;000000;2406
GC;D;240420;000000;2406.7
GC;D;240423;000000;2315.9
GC;D;240424;000000;2340.9
GC;D;240425;000000;2324.7
GC;D;240426;000000;2346.7
GC;D;240427;000000;2349.6
GC;D;240430;000000;2340.4
GC;D;240501;000000;2294.3
GC;D;240502;000000;2328.7
GC;D;240503;000000;2311.2
GC;D;240504;000000;2310.1
GC;D;240507;000000;2333.3
GC;D;240508;000000;2324.7
GC;D;240509;000000;2319.4
GC;D;240510;000000;2360.2
GC;D;240511;000000;2366.9
GC;D;240514;000000;2348.7
GC;D;240515;000000;2365.8
GC;D;240516;000000;2393.2
GC;D;240517;000000;2381.7
GC;D;240518;000000;2419.8
GC;D;240521;000000;2417
GC;D;240522;000000;2417.5
GC;D;240523;000000;2374.6
GC;D;240524;000000;2331.6
GC;D;240525;000000;2335.2
GC;D;240528;000000;2352
GC;D;240529;000000;2359
GC;D;240530;000000;2355.7
GC;D;240531;000000;2364.8
GC;D;240601;000000;2347.7
GC;D;240604;000000;2366
GC;D;240605;000000;2357.1
GC;D;240606;000000;2387.9
GC;D;240607;000000;2398.9
GC;D;240608;000000;2311.1
GC;D;240611;000000;2320.6
GC;D;240612;000000;2330.6
GC;D;240613;000000;2329.8
GC;D;240614;000000;2320.5
GC;D;240615;000000;2348.4
GC;D;240618;000000;2339.2
GC;D;240619;000000;2342.8
GC;D;240620;000000;2347.5
GC;D;240621;000000;2375.8
GC;D;240622;000000;2334.7
GC;D;240625;000000;2336.5
GC;D;240626;000000;2328.8
GC;D;240627;000000;2309.6
GC;D;240628;000000;2332.4
GC;D;240629;000000;2336.9
GC;D;240702;000000;2335.5
GC;D;240703;000000;2340.8
GC;D;240704;000000;2366.6
GC;D;240705;000000;2370
GC;D;240706;000000;2399.8
GC;D;240709;000000;2374.5
GC;D;240710;000000;2374.4
GC;D;240711;000000;2383.9
GC;D;240712;000000;2414.2
GC;D;240713;000000;2416
GC;D;240716;000000;2433.5
GC;D;240717;000000;2476.6
GC;D;240718;000000;2471.7
GC;D;240719;000000;2431.1
GC;D;240720;000000;2402.8
GC;D;240723;000000;2399.3
GC;D;240724;000000;2417.7
GC;D;240725;000000;2373.8
GC;D;240726;000000;2370.3
GC;D;240727;000000;2385.7
GC;D;240730;000000;2430.4
GC;D;240731;000000;2461.6
GC;D;240801;000000;2487
GC;D;240802;000000;2498.7
GC;D;240803;000000;2486.1
GC;D;240806;000000;2449.8
GC;D;240807;000000;2425.9
GC;D;240808;000000;2433.3
GC;D;240809;000000;2460.7
GC;D;240810;000000;2470.6
GC;D;240813;000000;2503.8
GC;D;240814;000000;2500.1
GC;D;240815;000000;2491.1
GC;D;240816;000000;2489.8
GC;D;240817;000000;2546.2
GC;D;240820;000000;2539.4
GC;D;240821;000000;2555.2
GC;D;240822;000000;2539
GC;D;240823;000000;2528.6
GC;D;240824;000000;2548.7
GC;D;240827;000000;2544.2
GC;D;240828;000000;2550.9
GC;D;240829;000000;2549.7
GC;D;240830;000000;2547
GC;D;240831;000000;2536
GC;D;240903;000000;2526.5
GC;D;240904;000000;2526.3
GC;D;240905;000000;2524.8
GC;D;240906;000000;2548
GC;D;240907;000000;2526.8
GC;D;240910;000000;2531.4
GC;D;240911;000000;2548.2
GC;D;240912;000000;2543.7
GC;D;240913;000000;2596
GC;D;240914;000000;2606.2
GC;D;240917;000000;2608.9
GC;D;240918;000000;2592.4
GC;D;240919;000000;2598.6
GC;D;240920;000000;2614.6
GC;D;240921;000000;2628.5
