<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;240104;000000;274.56
SBER;D;240105;000000;274.12
SBER;D;240106;000000;273.62
SBER;D;240109;000000;276.76
SBER;D;240110;000000;275.28
SBER;D;240111;000000;274.49
SBER;D;240112;000000;275.71
SBER;D;240113;000000;275.84
SBER;D;240116;000000;275.96
SBER;D;240117;000000;276.01
SBER;D;240118;000000;278
SBER;D;240119;000000;277.07
SBER;D;240120;000000;274.86
SBER;D;240123;000000;274.93
SBER;D;240124;000000;275.9
SBER;D;240125;000000;273.77
SBER;D;240126;000000;272.81
SBER;D;240127;000000;272.65
SBER;D;240130;000000;274.05
SBER;D;240131;000000;275.67
SBER;D;240201;000000;276
SBER;D;240202;000000;276.86
SBER;D;240203;000000;276.74
SBER;D;240206;000000;277.84
SBER;D;240207;000000;278.67
SBER;D;240208;000000;284.41
SBER;D;240209;000000;282.17
SBER;D;240210;000000;283.5
SBER;D;240213;000000;287.28
SBER;D;240214;000000;287.07
SBER;D;240215;000000;289.06
SBER;D;240216;000000;290.24
SBER;D;240217;000000;288.33
SBER;D;240220;000000;288.93
SBER;D;240221;000000;283.9
SBER;D;240222;000000;282
SBER;D;240223;000000;284.77
SBER;D;240227;000000;291.25
SBER;D;240228;000000;292.52
SBER;D;240229;000000;291.75
SBER;D;240301;000000;292.19
SBER;D;240302;000000;295.38
SBER;D;240305;000000;299.17
SBER;D;240306;000000;298.4
SBER;D;240307;000000;297.71
SBER;D;240308;000000;300.4
SBER;D;240312;000000;299.79
SBER;D;240313;000000;300.9
SBER;D;240314;000000;298.85
SBER;D;240315;000000;295.83
SBER;D;240316;000000;298.3
SBER;D;240319;000000;298.87
SBER;D;240320;000000;295.2
SBER;D;240321;000000;295.4
SBER;D;240322;000000;295.62
SBER;D;240323;000000;292.99
SBER;D;240326;000000;293.9
SBER;D;240327;000000;294.11
SBER;D;240328;000000;295.1
SBER;D;240329;000000;299
SBER;D;240330;000000;298.72
SBER;D;240402;000000;300.43
SBER;D;240403;000000;300.38
SBER;D;240404;000000;306.72
SBER;D;240405;000000;304.61
SBER;D;240406;000000;306.1
SBER;D;240409;000000;307.75
SBER;D;240410;000000;306.76
SBER;D;240411;000000;306.48
SBER;D;240412;000000;306.95
SBER;D;240413;000000;307.1
SBER;D;240416;000000;307.99
SBER;D;240417;000000;308.29
SBER;D;240418;000000;306.59
SBER;D;240419;000000;307.99
SBER;D;240420;000000;307.38
SBER;D;240423;000000;314.99
SBER;D;240424;000000;307.39
SBER;D;240425;000000;307.94
SBER;D;240426;000000;308.41
SBER;D;240427;000000;309
SBER;D;240428;000000;308.98
SBER;D;240430;000000;308.97
SBER;D;240501;000000;308.24
SBER;D;240503;000000;307.37
SBER;D;240504;000000;307.53
SBER;D;240507;000000;306.01
SBER;D;240508;000000;308.22
SBER;D;240509;000000;311.21
SBER;D;240511;000000;313.49
SBER;D;240514;000000;314.85
SBER;D;240515;000000;318.12
SBER;D;240516;000000;319.7
SBER;D;240517;000000;322.91
SBER;D;240518;000000;323.16
SBER;D;240521;000000;321.08
SBER;D;240522;000000;320.64
SBER;D;240523;000000;322.93
SBER;D;240524;000000;323.54
SBER;D;240525;000000;321
SBER;D;240528;000000;317.09
SBER;D;240529;000000;318.22
SBER;D;240530;000000;320.38
SBER;D;240531;000000;316.63
SBER;D;240601;000000;313.11
SBER;D;240604;000000;310.95
SBER;D;240605;000000;316.49
SBER;D;240606;000000;314.72
SBER;D;240607;000000;313.08
SBER;D;240608;000000;319.9
SBER;D;240611;000000;317.28
SBER;D;240612;000000;317.8
SBER;D;240614;000000;317.71
SBER;D;240615;000000;319.35
SBER;D;240618;000000;317.65
SBER;D;240619;000000;314.34
SBER;D;240620;000000;310.7
SBER;D;240621;000000;314.15
SBER;D;240622;000000;314.14
SBER;D;240625;000000;317.25
SBER;D;240626;000000;319.8
SBER;D;240627;000000;324.55
SBER;D;240628;000000;327.16
SBER;D;240629;000000;327.15
SBER;D;240702;000000;327.1
SBER;D;240703;000000;328.37
SBER;D;240704;000000;328.2
SBER;D;240705;000000;324.66
SBER;D;240706;000000;325
SBER;D;240709;000000;324.07
SBER;D;240710;000000;319.99
SBER;D;240711;000000;316.68
SBER;D;240712;000000;295.87
SBER;D;240713;000000;292.21
SBER;D;240716;000000;284.38
SBER;D;240717;000000;285.25
SBER;D;240718;000000;284.68
SBER;D;240719;000000;289.83
SBER;D;240720;000000;289.9
SBER;D;240723;000000;294.71
SBER;D;240724;000000;294.39
SBER;D;240725;000000;295.69
SBER;D;240726;000000;296.37
SBER;D;240727;000000;293.3
SBER;D;240730;000000;286.58
SBER;D;240731;000000;290
SBER;D;240801;000000;289.3
SBER;D;240802;000000;287.21
SBER;D;240803;000000;286.04
SBER;D;240806;000000;275.49
SBER;D;240807;000000;279.4
SBER;D;240808;000000;282.2
SBER;D;240809;000000;281.09
SBER;D;240810;000000;281.44
SBER;D;240813;000000;280.74
SBER;D;240814;000000;283.92
SBER;D;240815;000000;280.32
SBER;D;240816;000000;278.01
SBER;D;240817;000000;274.6
SBER;D;240820;000000;268.17
SBER;D;240821;000000;266.2
SBER;D;240822;000000;266.93
SBER;D;240823;000000;261.6
SBER;D;240824;000000;259.5
SBER;D;240827;000000;265.39
SBER;D;240828;000000;260.5
SBER;D;240829;000000;262.47
