<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
IMOEX;D;240103;000000;3130.23
IMOEX;D;240104;000000;3136.07
IMOEX;D;240105;000000;3136.37
IMOEX;D;240108;000000;3158.58
IMOEX;D;240109;000000;3155.55
IMOEX;D;240110;000000;3164.7
IMOEX;D;240111;000000;3181.25
IMOEX;D;240112;000000;3185.22
IMOEX;D;240115;000000;3184.88
IMOEX;D;240116;000000;3179.45
IMOEX;D;240117;000000;3185.23
IMOEX;D;240118;000000;3178.85
IMOEX;D;240119;000000;3166.37
IMOEX;D;240122;000000;3172.15
IMOEX;D;240123;000000;3175.74
IMOEX;D;240124;000000;3162.41
IMOEX;D;240125;000000;3157.74
IMOEX;D;240126;000000;3163.21
IMOEX;D;240129;000000;3176.61
IMOEX;D;240130;000000;3196.08
IMOEX;D;240131;000000;3214.19
IMOEX;D;240201;000000;3229.89
IMOEX;D;240202;000000;3226.35
IMOEX;D;240205;000000;3226.79
IMOEX;D;240206;000000;3238.4
IMOEX;D;240207;000000;3256.58
IMOEX;D;240208;000000;3241.81
IMOEX;D;240209;000000;3242.38
IMOEX;D;240212;000000;3248.5
IMOEX;D;240213;000000;3254.6
IMOEX;D;240214;000000;3258.14
IMOEX;D;240215;000000;3265.63
IMOEX;D;240216;000000;3242.48
IMOEX;D;240219;000000;3244.56
IMOEX;D;240220;000000;3207.49
IMOEX;D;240221;000000;3139.5
IMOEX;D;240222;000000;3142.3
IMOEX;D;240226;000000;3213.17
IMOEX;D;240227;000000;3208.99
IMOEX;D;240228;000000;3227.05
IMOEX;D;240229;000000;3256.8
IMOEX;D;240301;000000;3266.66
IMOEX;D;240304;000000;3296.75
IMOEX;D;240305;000000;3300.89
IMOEX;D;240306;000000;3310.58
IMOEX;D;240307;000000;3315.68
IMOEX;D;240311;000000;3320.31
IMOEX;D;240312;000000;3332.6
IMOEX;D;240313;000000;3320.68
IMOEX;D;240314;000000;3297
IMOEX;D;240315;000000;3300.07
IMOEX;D;240318;000000;3296.3
IMOEX;D;240319;000000;3264.97
IMOEX;D;240320;000000;3267.1
IMOEX;D;240321;000000;3286.69
IMOEX;D;240322;000000;3273.49
IMOEX;D;240325;000000;3281.63
