<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;W;240101;000000;6780
LKOH;W;240108;000000;6965
LKOH;W;240115;000000;6834.5
LKOH;W;240122;000000;6901
LKOH;W;240129;000000;7114
LKOH;W;240205;000000;7238.5
LKOH;W;240212;000000;7224.5
LKOH;W;240219;000000;7021.5
LKOH;W;240226;000000;7463.5
LKOH;W;240304;000000;7513
LKOH;W;240311;000000;7380
LKOH;W;240318;000000;7303
LKOH;W;240325;000000;7551
LKOH;W;240401;000000;7662.5
LKOH;W;240408;000000;7839.5
LKOH;W;240415;000000;7835.5
LKOH;W;240422;000000;8002.5
LKOH;W;240429;000000;8075.5
LKOH;W;240506;000000;7713.5
LKOH;W;240513;000000;7854.5
LKOH;W;240520;000000;7720
LKOH;W;240527;000000;7355.5
LKOH;W;240603;000000;7489
LKOH;W;240610;000000;7368
LKOH;W;240617;000000;7084
LKOH;W;240624;000000;7211
LKOH;W;240701;000000;7201
LKOH;W;240708;000000;6908
LKOH;W;240715;000000;6913
LKOH;W;240722;000000;6890
LKOH;W;240729;000000;6591
LKOH;W;240805;000000;6408.5
LKOH;W;240812;000000;6239.5
LKOH;W;240819;000000;6428
LKOH;W;240826;000000;6145
LKOH;W;240902;000000;6332
LKOH;W;240909;000000;6624.5
LKOH;W;240916;000000;6897.5
LKOH;W;240923;000000;6914.5
LKOH;W;240930;000000;7009
LKOH;W;241007;000000;6837
LKOH;W;241014;000000;6963
LKOH;W;241021;000000;6750.5
LKOH;W;241028;000000;6842
LKOH;W;241104;000000;7172
LKOH;W;241111;000000;7021
LKOH;W;241118;000000;6940
LKOH;W;241125;000000;6860.5
LKOH;W;241202;000000;6860
LKOH;W;241209;000000;6800
LKOH;W;241216;000000;6725
LKOH;W;241223;000000;6998
LKOH;W;241230;000000;7122
