<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20240101;100000;52.07;53.23;51.26;52.48;4760
20240102;100000;51.59;52.6;51.46;51.87;2008
20240103;100000;57.98;59.24;57.12;58.31;4440
20240104;100000;65.71;66.39;64.39;65.13;3914
20240105;100000;59.32;59.64;57.77;58.66;3224
20240106;100000;60.85;60.9;59.88;60.84;4986
20240107;100000;71.75;72.84;70.8;71.89;1850
20240108;100000;69.29;70.09;69.21;69.6;4140
20240109;100000;64.44;65.61;63.68;64.94;4222
20240110;100000;70.65;72.04;70.54;71.26;4764
20240111;100000;66.85;67.75;66.41;67.2;2238
20240112;100000;67.86;68.41;67.16;67.87;1750
20240113;100000;71.98;72.6;71.67;71.77;2542
20240114;100000;60.76;61.47;60.54;61.04;2416
20240115;100000;62.0;62.08;61.64;61.72;3386
20240116;100000;67.4;67.98;66.1;66.96;2365
20240117;100000;63.47;64.61;62.91;63.83;1090
20240118;100000;69.2;69.56;68.87;69.31;4197
20240119;100000;61.62;62.24;61.56;61.77;3523
20240120;100000;57.58;58.35;56.75;57.58;2958
20240121;100000;70.34;71.31;69.71;70.08;4440
20240122;100000;60.32;60.41;59.03;59.56;2140
20240123;100000;58.83;59.83;58.73;58.8;2250
20240124;100000;49.49;50.19;48.92;49.0;3094
20240125;100000;51.71;52.16;50.36;50.98;4957
20240126;100000;52.28;52.67;51.07;51.8;4018
20240127;100000;42.98;43.66;42.71;43.04;2371
20240128;100000;48.74;49.39;47.87;48.25;4387
20240129;100000;40.65;42.01;39.67;41.03;3549
20240130;100000;40.43;40.46;40.08;40.36;3036
20240131;100000;37.02;37.18;35.82;36.74;4324
20240201;100000;47.61;48.55;46.7;47.12;1708
20240202;100000;35.46;37.05;34.6;36.12;1876
20240203;100000;30.39;30.56;29.06;29.47;1373
20240204;100000;37.86;38.24;36.75;37.72;3842
20240205;100000;26.08;27.19;26.01;26.62;3152
20240206;100000;32.4;33.25;31.54;33.2;3000
20240207;100000;21.79;22.63;21.04;22.09;3818
20240208;100000;26.06;27.0;24.45;25.3;2168
20240209;100000;33.44;33.69;33.08;33.29;3048
20240210;100000;36.73;36.96;36.0;36.67;2823
20240211;100000;35.07;35.11;34.54;34.81;2574
